"Reference","Value","Rating","Description","MFR Number","Manufacturer","Qty"
"C4001,C4002","100uF","100V","Aluminum Electrolytic Capacitors - Radial Leaded 100uF 100V","ECA-1EM100I ","Panasonic","2"
"C4003,C4006,C4008","22pF","50V DC","Multilayer Ceramic Capacitors MLCC - Leaded 22PF 50V 5% 5.0MM","RDE5C1H220J0K1H03B","Murata","3"
"C4004,C4005","470uF","25V","Aluminum Electrolytic Capacitors - Radial Leaded 470uF 25V","EEU-FC1E471L","Panasonic","2"
"C4007","33uF","10V","Aluminum Electrolytic Capacitors - Radial Leaded 10VDC 33uF POLARIZED","ECE-A1AKS330I","Panasonic","1"
"C4009","100uF","10V","Aluminum Electrolytic Capacitors - Radial Leaded 100uF 10V","ECE-A1AKA101","Panasonic","1"
"C4010","0.1uF","63V DC","Film Capacitors 0.1 uF 63 VDC 5%","MKS2C031001A00JI00","WIMA","1"
"C4011","0.1uF","250V DC","Film Capacitors 0.1 uF 250 VDC 20%","MKS2F031001E00MSSD ","WIMA","1"
"CNT4001,CNT4002,CNT4003,CNT4004,CNT4007,CNT4008","2376582-2","","250 FASTON PCB TAB TPBR","2376582-2","TE Connectivity","6"
"CNT4005,CNT4006","22-27-2021","","Headers & Wire Housings 2 POS HEADER","22-27-2021","Molex","2"
"D4001,D4002,D4003,D4004,D4005","1N4148","","Small Signal Switching Diodes Small Signal Diode, DO-35, 100V, 0.2A, 175C","1N4148","Diotec Semiconductor","5"
"D4006,D4007","1N4007","","Rectifiers Diode, DO-41, 1000V, 1A","1N4007","Diotec Semiconductor","2"
"L4001","1uH","","Air Core Inductor, 16 windings, D = 8 mm, enameled wire diameter = 1.2 mm","","","1"
"Q4001,Q4002,Q4003,Q4009","2N5401","","Bipolar Transistors - BJT PNP 160Vcbo 150Vceo 5.0Vebo 600mA 625mW","2N5401 TIN/LEAD","Central Semiconductor ","4"
"Q4004,Q4005,Q4006,Q4007,Q4008,Q4010","2N5551","","Bipolar Transistors - BJT NPN 180Vcbo 160Vceo 6.0Vebo 600mA 625mW\","2N5551 TIN/LEAD","Central Semiconductor ","6"
"Q4011","TIP41A","","Bipolar Transistors - BJT 6A 100V 65W NPN","TIP41C","STMicroelectronics ","1"
"Q4012","TIP42C","","Bipolar Transistors - BJT 6A 100V 65W PNP","TIP42C","STMicroelectronics ","1"
"Q4013","2SC5200","","Bipolar Transistors - BJT NPN 230V 15A","2SC5200-O(Q)","Toshiba","1"
"Q4014","2SA1943","","Bipolar Transistors - BJT PNP 230V 15A","2SA1943-O(Q)","Toshiba","1"
"R4001","10R","0.25W","Metal Film Resistors - Through Hole 10 OHM 1/4W 1%","MFR-25FRE52-10R","YAGEO","1"
"R4002,R4006,R4007,R4012","15K","0.25W","Metal Film Resistors - Through Hole 15K OHM 1/4W 1%","MFR-25FRE52-15K","YAGEO","4"
"R4003","220R","0.25W","Metal Film Resistors - Through Hole 220 OHM 1/4W 1%","MFR-25FRE52-220R","YAGEO","1"
"R4004,R4005","18R","0.25W","Metal Film Resistors - Through Hole 18 OHM 1/4W 1%","MFR-25FRE52-18R","YAGEO","2"
"R4008,R4009","510R","0.25W","Metal Film Resistors - Through Hole 510 OHM 1/4W 1%","MFR-25FRE52-510R","YAGEO","2"
"R4010","120R","0.25W","Metal Film Resistors - Through Hole 120 OHM 1/4W 1%","MFR-25FRE52-120R","YAGEO","1"
"R4011,R4013","560R","0.25W","Metal Film Resistors - Through Hole 560 OHM 1/4W 1%","MFR-25FRE52-560R","YAGEO","2"
"R4014,R4016","680R","0.25W","Metal Film Resistors - Through Hole 680 OHM 1/4W 1%","MFR-25FRE52-680R","YAGEO","2"
"R4015","100R","0.25W","Metal Film Resistors - Through Hole 100 OHM 1/4W 1%","MFR-25FRE52-100R","YAGEO","1"
"R4017","180R","0.25W","Metal Film Resistors - Through Hole 180 OHM 1/4W 1%","MFR-25FRE52-180R","YAGEO","1"
"R4018,R4019","220R","0.5W","Metal Film Resistors - Through Hole 220 OHM 1/5W 1%","MFR-50FTE52-220R","YAGEO","2"
"R4020,R4022","0.82R","0.25W","Metal Oxide Resistors RSS1/2 .82 5%TR","MOSX1/2CT52RR82J ","KOA Speer","2"
"R4021,R4023","0.12R","5W","Current Sense Resistors - Through Hole 0.12 Ohm 5W 5% 350ppm","BPR58CR12J","KOA Speer","2"
"R4024","470R","0.25W","Metal Film Resistors - Through Hole 510 OHM 1/4W 1%","MFR-25FRE52-510R","YAGEO","1"
"R4025","15R","0.5W","Metal Film Resistors - Through Hole 15 OHM 1/5W 1%","MFR-50FTE52-15R","YAGEO","1"
"R4026","2.2R","0.5W","Metal Film Resistors - Through Hole 2.2 OHM 1/5W 1%","MFR-50FTE52-2R2","YAGEO","1"
"RNTC4001","2K","","NTC Thermistors 2Kohm/2% 3528/0.5%","NTCLE100E3202GB0A","Vishay / BC Components","1"
"RT4001","3K","","Trimmer Resistors - Through Hole 3/8"" 3Kohms Sealed Vertical Adjust","3296W-1-302ALF","Bourns","1"
"RT4002","100R","","Trimmer Resistors - Through Hole 3/8"" 100 ohms Sealed Vertical Adjust","3296W-1-101ALF","Bourns","1"
"WJ4001,WJ4002,WJ4003,WJ4006,WJ4007,WJ4008,WJ4009,WJ4010,WJ4011","Wire Jumper","","Wire Jumper","","","9"
